DateKey,DateInt,MonthName,DayOfWeekName,Year,QuarterOfYear,MonthOfYear,DayOfMonth
2005-07-03 00:00:00.000,20050703,"July","Sunday",2005,3,7,3
2005-07-10 00:00:00.000,20050710,"July","Sunday",2005,3,7,10
2005-07-17 00:00:00.000,20050717,"July","Sunday",2005,3,7,17
2005-07-24 00:00:00.000,20050724,"July","Sunday",2005,3,7,24
2005-07-31 00:00:00.000,20050731,"July","Sunday",2005,3,7,31
2006-07-02 00:00:00.000,20060702,"July","Sunday",2006,3,7,2
2006-07-09 00:00:00.000,20060709,"July","Sunday",2006,3,7,9
2006-07-16 00:00:00.000,20060716,"July","Sunday",2006,3,7,16
2006-07-23 00:00:00.000,20060723,"July","Sunday",2006,3,7,23
2006-07-30 00:00:00.000,20060730,"July","Sunday",2006,3,7,30
2007-07-01 00:00:00.000,20070701,"July","Sunday",2007,3,7,1
2007-07-08 00:00:00.000,20070708,"July","Sunday",2007,3,7,8
2007-07-15 00:00:00.000,20070715,"July","Sunday",2007,3,7,15
2007-07-22 00:00:00.000,20070722,"July","Sunday",2007,3,7,22
2007-07-29 00:00:00.000,20070729,"July","Sunday",2007,3,7,29
2008-07-06 00:00:00.000,20080706,"July","Sunday",2008,3,7,6
2008-07-13 00:00:00.000,20080713,"July","Sunday",2008,3,7,13
2008-07-20 00:00:00.000,20080720,"July","Sunday",2008,3,7,20
2008-07-27 00:00:00.000,20080727,"July","Sunday",2008,3,7,27
2009-07-05 00:00:00.000,20090705,"July","Sunday",2009,3,7,5
2009-07-12 00:00:00.000,20090712,"July","Sunday",2009,3,7,12
2009-07-19 00:00:00.000,20090719,"July","Sunday",2009,3,7,19
2009-07-26 00:00:00.000,20090726,"July","Sunday",2009,3,7,26
2010-07-04 00:00:00.000,20100704,"July","Sunday",2010,3,7,4
2010-07-11 00:00:00.000,20100711,"July","Sunday",2010,3,7,11
2010-07-18 00:00:00.000,20100718,"July","Sunday",2010,3,7,18
2010-07-25 00:00:00.000,20100725,"July","Sunday",2010,3,7,25
2011-07-03 00:00:00.000,20110703,"July","Sunday",2011,3,7,3
2011-07-10 00:00:00.000,20110710,"July","Sunday",2011,3,7,10
2011-07-17 00:00:00.000,20110717,"July","Sunday",2011,3,7,17
2011-07-24 00:00:00.000,20110724,"July","Sunday",2011,3,7,24
2011-07-31 00:00:00.000,20110731,"July","Sunday",2011,3,7,31
2012-07-01 00:00:00.000,20120701,"July","Sunday",2012,3,7,1
2012-07-08 00:00:00.000,20120708,"July","Sunday",2012,3,7,8
2012-07-15 00:00:00.000,20120715,"July","Sunday",2012,3,7,15
2012-07-22 00:00:00.000,20120722,"July","Sunday",2012,3,7,22
2012-07-29 00:00:00.000,20120729,"July","Sunday",2012,3,7,29
2013-07-07 00:00:00.000,20130707,"July","Sunday",2013,3,7,7
2013-07-14 00:00:00.000,20130714,"July","Sunday",2013,3,7,14
2013-07-21 00:00:00.000,20130721,"July","Sunday",2013,3,7,21
2013-07-28 00:00:00.000,20130728,"July","Sunday",2013,3,7,28
2014-07-06 00:00:00.000,20140706,"July","Sunday",2014,3,7,6
2014-07-13 00:00:00.000,20140713,"July","Sunday",2014,3,7,13
2014-07-20 00:00:00.000,20140720,"July","Sunday",2014,3,7,20
2014-07-27 00:00:00.000,20140727,"July","Sunday",2014,3,7,27
2015-07-05 00:00:00.000,20150705,"July","Sunday",2015,3,7,5
2015-07-12 00:00:00.000,20150712,"July","Sunday",2015,3,7,12
2015-07-19 00:00:00.000,20150719,"July","Sunday",2015,3,7,19
2015-07-26 00:00:00.000,20150726,"July","Sunday",2015,3,7,26
2016-07-03 00:00:00.000,20160703,"July","Sunday",2016,3,7,3
2016-07-10 00:00:00.000,20160710,"July","Sunday",2016,3,7,10
2016-07-17 00:00:00.000,20160717,"July","Sunday",2016,3,7,17
2016-07-24 00:00:00.000,20160724,"July","Sunday",2016,3,7,24
2016-07-31 00:00:00.000,20160731,"July","Sunday",2016,3,7,31
2017-07-02 00:00:00.000,20170702,"July","Sunday",2017,3,7,2
2017-07-09 00:00:00.000,20170709,"July","Sunday",2017,3,7,9
2017-07-16 00:00:00.000,20170716,"July","Sunday",2017,3,7,16
2017-07-23 00:00:00.000,20170723,"July","Sunday",2017,3,7,23
2017-07-30 00:00:00.000,20170730,"July","Sunday",2017,3,7,30
2018-07-01 00:00:00.000,20180701,"July","Sunday",2018,3,7,1
2018-07-08 00:00:00.000,20180708,"July","Sunday",2018,3,7,8
2018-07-15 00:00:00.000,20180715,"July","Sunday",2018,3,7,15
2018-07-22 00:00:00.000,20180722,"July","Sunday",2018,3,7,22
2018-07-29 00:00:00.000,20180729,"July","Sunday",2018,3,7,29
2005-07-01 00:00:00.000,20050701,"July","Friday",2005,3,7,1
2005-07-02 00:00:00.000,20050702,"July","Saturday",2005,3,7,2
2005-07-04 00:00:00.000,20050704,"July","Monday",2005,3,7,4
2005-07-05 00:00:00.000,20050705,"July","Tuesday",2005,3,7,5
2005-07-06 00:00:00.000,20050706,"July","Wednesday",2005,3,7,6
2005-07-07 00:00:00.000,20050707,"July","Thursday",2005,3,7,7
2005-07-08 00:00:00.000,20050708,"July","Friday",2005,3,7,8
2005-07-09 00:00:00.000,20050709,"July","Saturday",2005,3,7,9
2005-07-11 00:00:00.000,20050711,"July","Monday",2005,3,7,11
2005-07-12 00:00:00.000,20050712,"July","Tuesday",2005,3,7,12
2005-07-13 00:00:00.000,20050713,"July","Wednesday",2005,3,7,13
2005-07-14 00:00:00.000,20050714,"July","Thursday",2005,3,7,14
2005-07-15 00:00:00.000,20050715,"July","Friday",2005,3,7,15
2005-07-16 00:00:00.000,20050716,"July","Saturday",2005,3,7,16
2005-07-18 00:00:00.000,20050718,"July","Monday",2005,3,7,18
2005-07-19 00:00:00.000,20050719,"July","Tuesday",2005,3,7,19
2005-07-20 00:00:00.000,20050720,"July","Wednesday",2005,3,7,20
2005-07-21 00:00:00.000,20050721,"July","Thursday",2005,3,7,21
2005-07-22 00:00:00.000,20050722,"July","Friday",2005,3,7,22
2005-07-23 00:00:00.000,20050723,"July","Saturday",2005,3,7,23
2005-07-25 00:00:00.000,20050725,"July","Monday",2005,3,7,25
2005-07-26 00:00:00.000,20050726,"July","Tuesday",2005,3,7,26
2005-07-27 00:00:00.000,20050727,"July","Wednesday",2005,3,7,27
2005-07-28 00:00:00.000,20050728,"July","Thursday",2005,3,7,28
2005-07-29 00:00:00.000,20050729,"July","Friday",2005,3,7,29
2005-07-30 00:00:00.000,20050730,"July","Saturday",2005,3,7,30
2006-07-01 00:00:00.000,20060701,"July","Saturday",2006,3,7,1
2006-07-03 00:00:00.000,20060703,"July","Monday",2006,3,7,3
2006-07-04 00:00:00.000,20060704,"July","Tuesday",2006,3,7,4
2006-07-05 00:00:00.000,20060705,"July","Wednesday",2006,3,7,5
2006-07-06 00:00:00.000,20060706,"July","Thursday",2006,3,7,6
2006-07-07 00:00:00.000,20060707,"July","Friday",2006,3,7,7
2006-07-08 00:00:00.000,20060708,"July","Saturday",2006,3,7,8
2006-07-10 00:00:00.000,20060710,"July","Monday",2006,3,7,10
2006-07-11 00:00:00.000,20060711,"July","Tuesday",2006,3,7,11
2006-07-12 00:00:00.000,20060712,"July","Wednesday",2006,3,7,12
2006-07-13 00:00:00.000,20060713,"July","Thursday",2006,3,7,13
2006-07-14 00:00:00.000,20060714,"July","Friday",2006,3,7,14
2006-07-15 00:00:00.000,20060715,"July","Saturday",2006,3,7,15
2006-07-17 00:00:00.000,20060717,"July","Monday",2006,3,7,17
2006-07-18 00:00:00.000,20060718,"July","Tuesday",2006,3,7,18
2006-07-19 00:00:00.000,20060719,"July","Wednesday",2006,3,7,19
2006-07-20 00:00:00.000,20060720,"July","Thursday",2006,3,7,20
2006-07-21 00:00:00.000,20060721,"July","Friday",2006,3,7,21
2006-07-22 00:00:00.000,20060722,"July","Saturday",2006,3,7,22
2006-07-24 00:00:00.000,20060724,"July","Monday",2006,3,7,24
2006-07-25 00:00:00.000,20060725,"July","Tuesday",2006,3,7,25
2006-07-26 00:00:00.000,20060726,"July","Wednesday",2006,3,7,26
2006-07-27 00:00:00.000,20060727,"July","Thursday",2006,3,7,27
2006-07-28 00:00:00.000,20060728,"July","Friday",2006,3,7,28
2006-07-29 00:00:00.000,20060729,"July","Saturday",2006,3,7,29
2006-07-31 00:00:00.000,20060731,"July","Monday",2006,3,7,31
2007-07-02 00:00:00.000,20070702,"July","Monday",2007,3,7,2
2007-07-03 00:00:00.000,20070703,"July","Tuesday",2007,3,7,3
2007-07-04 00:00:00.000,20070704,"July","Wednesday",2007,3,7,4
2007-07-05 00:00:00.000,20070705,"July","Thursday",2007,3,7,5
2007-07-06 00:00:00.000,20070706,"July","Friday",2007,3,7,6
2007-07-07 00:00:00.000,20070707,"July","Saturday",2007,3,7,7
2007-07-09 00:00:00.000,20070709,"July","Monday",2007,3,7,9
2007-07-10 00:00:00.000,20070710,"July","Tuesday",2007,3,7,10
2007-07-11 00:00:00.000,20070711,"July","Wednesday",2007,3,7,11
2007-07-12 00:00:00.000,20070712,"July","Thursday",2007,3,7,12
2007-07-13 00:00:00.000,20070713,"July","Friday",2007,3,7,13
2007-07-14 00:00:00.000,20070714,"July","Saturday",2007,3,7,14
2007-07-16 00:00:00.000,20070716,"July","Monday",2007,3,7,16
2007-07-17 00:00:00.000,20070717,"July","Tuesday",2007,3,7,17
2007-07-18 00:00:00.000,20070718,"July","Wednesday",2007,3,7,18
2007-07-19 00:00:00.000,20070719,"July","Thursday",2007,3,7,19
2007-07-20 00:00:00.000,20070720,"July","Friday",2007,3,7,20
2007-07-21 00:00:00.000,20070721,"July","Saturday",2007,3,7,21
2007-07-23 00:00:00.000,20070723,"July","Monday",2007,3,7,23
2007-07-24 00:00:00.000,20070724,"July","Tuesday",2007,3,7,24
2007-07-25 00:00:00.000,20070725,"July","Wednesday",2007,3,7,25
2007-07-26 00:00:00.000,20070726,"July","Thursday",2007,3,7,26
2007-07-27 00:00:00.000,20070727,"July","Friday",2007,3,7,27
2007-07-28 00:00:00.000,20070728,"July","Saturday",2007,3,7,28
2007-07-30 00:00:00.000,20070730,"July","Monday",2007,3,7,30
2007-07-31 00:00:00.000,20070731,"July","Tuesday",2007,3,7,31
2008-07-01 00:00:00.000,20080701,"July","Tuesday",2008,3,7,1
2008-07-02 00:00:00.000,20080702,"July","Wednesday",2008,3,7,2
2008-07-03 00:00:00.000,20080703,"July","Thursday",2008,3,7,3
2008-07-04 00:00:00.000,20080704,"July","Friday",2008,3,7,4
2008-07-05 00:00:00.000,20080705,"July","Saturday",2008,3,7,5
2008-07-07 00:00:00.000,20080707,"July","Monday",2008,3,7,7
2008-07-08 00:00:00.000,20080708,"July","Tuesday",2008,3,7,8
2008-07-09 00:00:00.000,20080709,"July","Wednesday",2008,3,7,9
2008-07-10 00:00:00.000,20080710,"July","Thursday",2008,3,7,10
2008-07-11 00:00:00.000,20080711,"July","Friday",2008,3,7,11
2008-07-12 00:00:00.000,20080712,"July","Saturday",2008,3,7,12
2008-07-14 00:00:00.000,20080714,"July","Monday",2008,3,7,14
2008-07-15 00:00:00.000,20080715,"July","Tuesday",2008,3,7,15
2008-07-16 00:00:00.000,20080716,"July","Wednesday",2008,3,7,16
2008-07-17 00:00:00.000,20080717,"July","Thursday",2008,3,7,17
2008-07-18 00:00:00.000,20080718,"July","Friday",2008,3,7,18
2008-07-19 00:00:00.000,20080719,"July","Saturday",2008,3,7,19
2008-07-21 00:00:00.000,20080721,"July","Monday",2008,3,7,21
2008-07-22 00:00:00.000,20080722,"July","Tuesday",2008,3,7,22
2008-07-23 00:00:00.000,20080723,"July","Wednesday",2008,3,7,23
2008-07-24 00:00:00.000,20080724,"July","Thursday",2008,3,7,24
2008-07-25 00:00:00.000,20080725,"July","Friday",2008,3,7,25
2008-07-26 00:00:00.000,20080726,"July","Saturday",2008,3,7,26
2008-07-28 00:00:00.000,20080728,"July","Monday",2008,3,7,28
2008-07-29 00:00:00.000,20080729,"July","Tuesday",2008,3,7,29
2008-07-30 00:00:00.000,20080730,"July","Wednesday",2008,3,7,30
2008-07-31 00:00:00.000,20080731,"July","Thursday",2008,3,7,31
2009-07-01 00:00:00.000,20090701,"July","Wednesday",2009,3,7,1
2009-07-02 00:00:00.000,20090702,"July","Thursday",2009,3,7,2
2009-07-03 00:00:00.000,20090703,"July","Friday",2009,3,7,3
2009-07-04 00:00:00.000,20090704,"July","Saturday",2009,3,7,4
2009-07-06 00:00:00.000,20090706,"July","Monday",2009,3,7,6
2009-07-07 00:00:00.000,20090707,"July","Tuesday",2009,3,7,7
2009-07-08 00:00:00.000,20090708,"July","Wednesday",2009,3,7,8
2009-07-09 00:00:00.000,20090709,"July","Thursday",2009,3,7,9
2009-07-10 00:00:00.000,20090710,"July","Friday",2009,3,7,10
2009-07-11 00:00:00.000,20090711,"July","Saturday",2009,3,7,11
2009-07-13 00:00:00.000,20090713,"July","Monday",2009,3,7,13
2009-07-14 00:00:00.000,20090714,"July","Tuesday",2009,3,7,14
2009-07-15 00:00:00.000,20090715,"July","Wednesday",2009,3,7,15
2009-07-16 00:00:00.000,20090716,"July","Thursday",2009,3,7,16
2009-07-17 00:00:00.000,20090717,"July","Friday",2009,3,7,17
2009-07-18 00:00:00.000,20090718,"July","Saturday",2009,3,7,18
2009-07-20 00:00:00.000,20090720,"July","Monday",2009,3,7,20
2009-07-21 00:00:00.000,20090721,"July","Tuesday",2009,3,7,21
2009-07-22 00:00:00.000,20090722,"July","Wednesday",2009,3,7,22
