,SalesKey,DateKey,channelKey,StoreKey,ProductKey,PromotionKey,UnitCost,UnitPrice,SalesQuantity,ReturnQuantity,ReturnAmount,DiscountQuantity,DiscountAmount,TotalCost,SalesAmount
1614888,1621944,2013-12-31 00:00:00.000,2,306,1038,28,85.95,186.9,8,0,0.0,2,74.76,687.6,1420.44
504014,1467237,2013-12-31 00:00:00.000,2,306,644,28,40.28,79.0,16,0,0.0,4,63.2,644.48,1200.8
505961,937168,2013-12-31 00:00:00.000,4,310,254,23,167.73,329.0,39,0,0.0,6,296.1,6541.47,12534.9
505955,724859,2013-12-31 00:00:00.000,4,310,1042,23,91.05,198.0,39,0,0.0,8,237.6,3550.95,7484.4
505932,301661,2013-12-31 00:00:00.000,4,310,1643,23,26.62,57.88,39,0,0.0,7,60.774,1038.18,2196.546
569450,430450,2013-12-31 00:00:00.000,1,232,369,28,321.44,699.0,8,0,0.0,3,419.4,2571.52,5172.6
1683265,2573969,2013-12-31 00:00:00.000,3,200,970,22,91.05,198.0,13,0,0.0,3,118.8,1183.65,2455.2
569481,508038,2013-12-31 00:00:00.000,1,221,1415,28,137.96,300.0,8,0,0.0,3,180.0,1103.68,2220.0
665546,1209219,2013-12-31 00:00:00.000,1,7,1221,22,245.74,482.0,13,0,0.0,2,192.8,3194.62,6073.2
2016775,1977085,2013-12-31 00:00:00.000,2,306,1489,28,142.56,310.0,16,1,310.0,3,186.0,2138.4,4774.0
503998,1354828,2013-12-31 00:00:00.000,2,306,906,28,38.74,75.99,16,0,0.0,4,60.792,619.84,1155.048
1683169,1862174,2013-12-31 00:00:00.000,3,200,1573,22,27.13,58.99,13,0,0.0,3,35.394,352.69,731.476
2016787,2118409,2013-12-31 00:00:00.000,2,306,761,28,8.62,16.9,16,1,16.9,3,10.14,137.92,260.26
503931,1028169,2013-12-31 00:00:00.000,2,306,1613,28,56.08,109.99,16,0,0.0,4,87.992,897.28,1671.848
503930,1025169,2013-12-31 00:00:00.000,2,306,469,28,50.47,99.0,16,0,0.0,4,79.2,807.52,1504.8
1988524,1926818,2013-12-31 00:00:00.000,2,199,559,22,115.43,251.0,13,1,251.0,1,50.2,1385.16,3212.8
503909,906264,2013-12-31 00:00:00.000,2,306,153,28,216.12,469.97,16,0,0.0,4,375.976,3457.92,7143.544
1683374,1849040,2013-12-31 00:00:00.000,3,200,680,22,53.34,116.0,13,0,0.0,2,46.4,693.42,1461.6
503772,194954,2013-12-31 00:00:00.000,2,306,725,28,87.37,190.0,16,0,0.0,4,152.0,1397.92,2888.0
1988601,3082118,2013-12-31 00:00:00.000,2,199,1547,22,117.27,255.0,13,1,255.0,2,102.0,1407.24,3213.0
506059,53818,2013-12-31 00:00:00.000,4,310,777,23,7.09,13.9,52,0,0.0,8,16.68,368.68,706.12
1683126,3009995,2013-12-31 00:00:00.000,3,200,388,22,195.24,382.95,13,0,0.0,1,76.59,2538.12,4901.76
346179,987847,2013-12-31 00:00:00.000,1,96,1327,22,15.57,46.99,6,0,0.0,0,0.0,93.42,281.94
1984561,1567237,2013-12-31 00:00:00.000,1,157,1075,22,155.43,338.0,13,1,338.0,3,202.8,1865.16,4191.2
606803,1086620,2013-12-31 00:00:00.000,1,276,1564,23,100.06,302.0,6,0,0.0,4,181.2,600.36,1630.8
1550123,2821402,2013-12-31 00:00:00.000,2,306,1532,28,128.76,280.0,16,0,0.0,8,448.0,2060.16,4032.0
1550126,2905923,2013-12-31 00:00:00.000,2,306,1587,28,8.27,17.99,16,0,0.0,7,25.186,132.32,262.654
346256,1327108,2013-12-31 00:00:00.000,1,29,827,22,11.23,33.9,6,0,0.0,0,0.0,67.38,203.4
1984656,2140189,2013-12-31 00:00:00.000,1,150,1544,22,109.45,238.0,13,1,238.0,3,142.8,1313.4,2951.2
346309,1528479,2013-12-31 00:00:00.000,1,42,53,22,98.07,296.0,6,0,0.0,0,0.0,588.42,1776.0
1984598,1768557,2013-12-31 00:00:00.000,1,51,619,22,115.43,251.0,13,1,251.0,3,150.6,1385.16,3112.4
1984592,1737997,2013-12-31 00:00:00.000,1,73,1628,22,6.39,13.89,13,1,13.89,3,8.334,76.68,172.236
1682402,2553543,2013-12-31 00:00:00.000,4,308,1222,22,219.74,431.0,13,0,0.0,1,86.2,2856.62,5516.8
1999511,2665713,2013-12-31 00:00:00.000,1,268,516,23,29.82,90.0,26,1,90.0,1,13.5,775.32,2326.5
1682423,2761012,2013-12-31 00:00:00.000,4,308,1314,22,94.27,205.0,13,0,0.0,1,41.0,1225.51,2624.0
1999486,2443239,2013-12-31 00:00:00.000,1,273,941,23,21.41,41.99,26,1,41.99,1,6.2985,556.66,1085.4415
569278,135648,2013-12-31 00:00:00.000,1,233,476,28,287.92,869.0,8,0,0.0,3,521.4,2303.36,6430.6
1682975,1722836,2013-12-31 00:00:00.000,3,200,659,22,54.26,118.0,13,0,0.0,1,23.6,705.38,1510.4
2016664,2183490,2013-12-31 00:00:00.000,2,307,482,23,82.32,179.0,26,1,179.0,3,80.55,2058.0,4573.45
569295,177193,2013-12-31 00:00:00.000,1,249,1419,28,118.65,258.0,8,0,0.0,3,154.8,949.2,1909.2
1988147,2439773,2013-12-31 00:00:00.000,4,308,1523,22,137.5,299.0,13,1,299.0,4,239.2,1650.0,3647.8
1683104,2726246,2013-12-31 00:00:00.000,3,200,215,22,261.66,569.0,13,0,0.0,1,113.8,3401.58,7283.2
503702,1260899,2013-12-31 00:00:00.000,2,306,847,28,7.95,15.6,16,0,0.0,3,9.36,127.2,240.24
617268,602149,2013-12-31 00:00:00.000,1,253,1425,23,175.27,529.0,6,0,0.0,2,158.7,1051.62,3015.3
503681,1161163,2013-12-31 00:00:00.000,2,306,129,28,101.97,200.0,16,0,0.0,3,120.0,1631.52,3080.0
1391666,1872408,2013-12-31 00:00:00.000,2,307,661,23,75.54,228.0,6,0,0.0,0,0.0,453.24,1368.0
2016964,2613207,2013-12-31 00:00:00.000,4,309,1583,28,6.39,13.89,16,1,13.89,3,8.334,95.85,213.906
503026,145952,2013-12-31 00:00:00.000,2,306,620,28,87.37,190.0,16,0,0.0,1,38.0,1397.92,3002.0
502992,1369392,2013-12-31 00:00:00.000,2,306,1324,28,17.93,38.99,16,0,0.0,5,38.99,286.88,584.85
502964,947314,2013-12-31 00:00:00.000,2,306,1157,28,523.49,1580.0,16,0,0.0,5,1580.0,8375.84,23700.0
1683628,2228835,2013-12-31 00:00:00.000,3,200,1415,22,137.96,300.0,13,0,0.0,4,240.0,1793.48,3660.0
569997,1484791,2013-12-31 00:00:00.000,1,231,211,28,293.85,639.0,8,0,0.0,3,383.4,2350.8,4728.6
570002,1501253,2013-12-31 00:00:00.000,1,228,1371,28,15.17,32.99,8,0,0.0,3,19.794,121.36,244.126
502942,644521,2013-12-31 00:00:00.000,2,306,382,28,195.24,382.95,16,0,0.0,5,382.95,3123.84,5744.25
570013,1527955,2013-12-31 00:00:00.000,1,204,375,28,321.44,699.0,8,0,0.0,3,419.4,2571.52,5172.6
641211,634451,2013-12-31 00:00:00.000,4,310,143,23,152.94,299.99,13,0,0.0,2,89.997,1988.22,3809.873
2263815,3377396,2013-12-31 00:00:00.000,4,308,1091,22,164.63,358.0,26,1,358.0,5,358.0,4115.75,8950.0
